env,actor_0_alpha,actor_0_seed,actor_1_alpha,actor_1_seed,algorithm,n_eval_episodes,mean_reward,mean_KL,q_output_diff,jacobian_diff
HalfCheetah-v4,0.2,2,0.2,1,code/cleanrl/cleanrl/meow_continuous_action.py,25,6682.440704128056,252.74184772011463,125.54445571899414,32.267429929831025
HalfCheetah-v4,None,3,None,1,code/cleanrl/cleanrl/td3_continuous_action.py,25,10975.243625737217,2.7378692626953125,104.57951416015625,684.6757111601256
HalfCheetah-v4,None,3,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,11445.717033016295,6.083320140838623,102.98038818359375,671.299459564209
HalfCheetah-v4,None,3,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,11427.16655835747,3.562756299972534,218.60621826171874,599.2366246923829
HalfCheetah-v4,None,3,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,11441.675193119754,4.073534965515137,126.1056591796875,577.2303168206024
HalfCheetah-v4,None,1,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,11126.713036075625,4.779685020446777,130.22165771484376,671.6363894665528
HalfCheetah-v4,None,1,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,11112.389824859983,2.8721742630004883,175.83207275390626,612.8878646080018
HalfCheetah-v4,None,1,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,11202.29853915919,3.515408992767334,95.9730419921875,449.7692478757475
HalfCheetah-v4,None,2,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,10891.725492527852,3.8807430267333984,150.46639282226562,693.6867308944702
HalfCheetah-v4,None,2,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,10858.204865756312,6.4272918701171875,213.1356396484375,658.7976414790344
HalfCheetah-v4,None,4,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,11698.885719805547,5.3137311935424805,427.7906970214844,415.90629040069587
HalfCheetah-v4,0.6,5,0.6,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,11503.615316953525,0.1061348021030426,43.95132568359375,30.952737527732843
HalfCheetah-v4,0.6,5,0.6,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,11471.746825583461,0.07570575177669525,44.3211279296875,23.624358433682918
HalfCheetah-v4,0.6,5,0.6,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,11501.6535938234,0.21130968630313873,42.94875854492187,31.205466605491637
HalfCheetah-v4,0.6,2,0.6,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,11939.103895340408,0.12647190690040588,78.20975219726563,32.94872715057611
HalfCheetah-v4,0.6,2,0.6,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,12146.396356499388,0.1998777985572815,54.6792919921875,30.57991383798599
HalfCheetah-v4,0.6,3,0.6,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,11323.886045002053,0.23648005723953247,203.89693115234374,31.484721682659988
HalfCheetah-v4,0.4,1,0.4,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,13019.364390743423,0.4173375070095062,67.982470703125,37.99121857738494
HalfCheetah-v4,0.4,1,0.4,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,13029.75700886866,1.0348812341690063,148.11808349609376,47.735404106655125
HalfCheetah-v4,0.4,1,0.4,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,13020.786128139365,0.23112447559833527,80.4933837890625,33.82661641292573
HalfCheetah-v4,0.4,1,0.4,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,12992.54591466196,0.36207711696624756,53.8901513671875,35.038589663772576
HalfCheetah-v4,0.4,3,0.4,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,13064.751368604628,2.203141212463379,198.44043701171876,48.437620901184076
