env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,0,9619.022742406061,-11.731617508329451,46.0573616027832,47.564314972877504
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,1,9350.064612849266,-11.277187876582145,44.6205940246582,45.98092168712616
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,2,9044.185804782144,-11.76803944195807,48.31118392944336,48.59484037590027
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,3,9600.440994446964,-10.785789514272473,47.95880889892578,44.40672196412086
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,4,8915.73318316809,-11.586304629683495,35.88023376464844,47.72957975852489
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,5,9335.688140911541,-11.166290247499942,53.02107620239258,44.254251346111296
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,6,9302.262284868497,-10.986354213736952,44.10550308227539,41.82351045393944
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,7,9438.652355237142,-10.957394090946764,50.519630432128906,49.08490637183189
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,8,9374.089097918653,-11.863683767229318,46.98379135131836,46.62007947230339
HalfCheetah-v4,code/cleanrl/cleanrl/meow_continuous_action.py,0.2,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-kkwawwaq/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.2__1742924868_step750000.pth,0.2,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134751-ehqn9dv2/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.2__1742924868_step750000.pth,9,9372.618535466481,-11.2429294821769,43.43330001831055,46.824036883234974
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,0,7447.860853899092,5.582644645644686,29.40936279296875,232.1206656112671
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,1,7498.40041910303,5.425967812925017,56.7550048828125,227.63671379470824
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,2,7467.874187563442,5.508103964241615,34.05963134765625,233.06076726150513
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,3,7649.518801963058,5.3659247426552374,28.0267333984375,230.28893367004395
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,4,7403.906427093995,5.363443773811712,29.3939208984375,231.57802033615113
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,5,7500.086860030973,5.493102650394008,38.24761962890625,227.09611881446838
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,6,7638.965275953885,5.514237685785265,44.7633056640625,228.2751106891632
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,7,7716.084143480821,5.348025848903679,40.36181640625,231.25818127059935
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,8,7579.707636202369,5.475422099825846,55.610443115234375,231.1007385673523
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step750000.pth,None,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_030733-jp2x5idk/files/files/HalfCheetah-v4__HalfCheetah-v4__3__1742972851_step750000.pth,9,7402.773071069159,5.367014745266577,30.3009033203125,233.05996067047118
HalfCheetah-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-10gtccuo/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.0__1742924460_step750000.pth,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-0ix05udm/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.0__1742924460_step750000.pth,0,8968.26350621191,17253.369867412566,386.3493347167969,443.3348982696533
HalfCheetah-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-10gtccuo/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.0__1742924460_step750000.pth,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-0ix05udm/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.0__1742924460_step750000.pth,1,8869.060975613766,16995.14850094247,390.38427734375,447.04941245269777
HalfCheetah-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-10gtccuo/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.0__1742924460_step750000.pth,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-0ix05udm/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.0__1742924460_step750000.pth,2,8992.045141781784,17147.55098971653,366.8445129394531,441.52951280212403
HalfCheetah-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-10gtccuo/files/files/HalfCheetah-v4__halfcheetah-v4__1__0.0__1742924460_step750000.pth,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134103-0ix05udm/files/files/HalfCheetah-v4__halfcheetah-v4__2__0.0__1742924460_step750000.pth,3,8851.622765432765,17208.365943308352,371.88604736328125,452.7638079109192
