env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,18,2742.405649167172,0.6300763047835393,5.334419139019855,24.35809611472763
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,13,3258.84713612197,0.6907732970687582,4.777358831971456,24.82716632160714
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,14,2948.837877370024,0.6804061292784003,5.294312198585439,24.24791716638769
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,1,2769.683976498631,0.6288631576920287,5.6125664256065555,24.582376898945988
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,10,3754.091202631004,0.5774675191854246,4.550758439538763,26.38918118789046
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,23,2579.138713271149,0.622741492340869,4.141865600585938,23.93126424897873
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,9,3736.457010702119,0.5893841105811298,4.139112945556641,24.201799746507252
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,24,2580.0295218090796,0.6373277438949504,4.898949929893972,24.5078774542967
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,21,3462.8608856465494,0.5883794608372753,4.937226572297627,26.639292191064847
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,22,3762.3348256980685,0.6697179037327878,4.997736556647604,25.621598536206275
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,4,3610.866374620081,0.4985974858144764,4.699598401844383,25.06972068871934
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,15,2753.346208007905,0.6265833200814497,4.605410949707031,27.04899712096348
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,20,2437.33234952115,0.5624918017316405,5.666488490616979,25.58363992236229
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,3,2500.4779951139208,0.6090987363140713,5.3879677525152525,24.484318552676985
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,11,3730.6404071254537,0.6402772767483257,5.096570357123574,25.20747082233429
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,6,2492.2705101228416,0.5745167244815386,5.3837059537569685,24.5554807693604
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,0,2831.390472830353,0.654644290708875,5.741233916075333,29.189287439346312
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,10,2989.249125596802,0.8772481062076986,4.068402986677866,24.30126462697983
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,17,2529.7306184818913,0.6135535908372405,4.774206164406567,25.363264013822427
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,8,2625.9581336765996,0.6106560680613184,4.152295745849609,27.143021881103515
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,21,3688.316257563867,0.7037411665560211,2.911336990356445,23.726956515312196
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,12,2513.3757885052487,0.5995283446267534,5.717568215111866,23.862002993580962
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,16,3659.1069713629163,0.6270388779288624,3.185216064453125,24.471443192481996
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,16,2542.120185944432,0.6144742866757622,4.205273081960115,24.78444769303244
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,20,3739.7718280717104,0.7518706832318567,2.980024475097656,23.687332325458527
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,22,3581.932903360128,0.626433442845475,2.932021728515625,24.55812397956848
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,23,3644.82013448855,0.679943019435741,3.0471038513183593,27.196641666412354
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,4,3578.7091902531524,0.5897967773200944,2.8352884368896483,25.842165619373322
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,5,3731.58119806335,0.6060930519995745,5.469587432861328,24.803261043948513
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,13,3657.8439505758756,0.6781631910800934,3.910014144897461,23.89307568502426
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,19,3661.2948843861836,0.6933050550774206,2.688727340698242,24.704431048870088
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,6,3566.738739364724,0.6142921516052448,3.0929474334716796,24.00025751543045
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,17,3609.267433048436,0.6239840399685781,3.353943817138672,24.15724344778061
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,7,3449.8067882563455,0.7196225445784096,3.086663818359375,24.646844925880433
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,18,3635.596790792852,0.6926121869259333,3.210401611328125,23.493004816532135
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,7,2606.320727402618,0.6398385784548623,3.983736826128386,28.81470539522171
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,2,2834.8583338452195,0.6656765955508002,4.360024339298913,25.334328319072725
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,12,3701.0441680043928,0.7485024650978157,3.0433194885253907,22.901575171947478
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,1,3664.731787304242,0.6760758457749616,3.130605758666992,25.798542481422423
Hopper-v4,code/cleanrl/cleanrl/adaptive_sac.py,,2,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093816-baoiqiyx/files/files/actor_2000000.pth,,1,/n/fs/similarity/var-autotune-sac/similar-behavior/.wandb_runs/wandb/run-20250512_093817-1yjj8zqu/files/files/actor_2000000.pth,24,3567.423069716065,0.688676522778684,3.0244557342529297,27.551294739723204
