env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,0,3646.999718914732,5.512687101912179,13.419647216796875,86.16603064727784
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,1,3638.1647627199586,5.002790978458482,9.378875732421875,84.91009564971924
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,2,3644.762096533746,5.450462063092217,19.148834228515625,83.89783408737182
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,3,3641.0202518097312,5.014751275551043,11.820892333984375,82.23290124393645
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,4,2163.9354707407365,6.939511592241522,20.096572875976562,83.8023825378418
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,5,3638.7410372022887,5.220200796668654,8.95745849609375,83.87610046577454
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,6,3644.077280097823,5.201791710261101,17.443511962890625,85.84313922786713
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,7,3649.143584000718,5.218497427734503,11.247528076171875,83.55682126808166
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,8,3613.3309453246125,5.473297606728103,9.39654541015625,85.92201602172851
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,9,3634.0526812836197,5.4617482093298815,10.70611572265625,85.77778219604492
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,10,3630.7482906622254,5.02206909339285,9.45062255859375,83.9334030342102
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,11,3644.281858315685,5.20429133096194,14.425048828125,85.2927126712799
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,12,3633.982532057629,5.102003914084419,7.8885498046875,84.34700433349609
Hopper-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_114541-w3s33mi5/files/files/Hopper-v4__Hopper-v4__2__1743003940_step2450000.pth,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_153833-urqvir5r/files/files/Hopper-v4__Hopper-v4__4__1743017912_step2450000.pth,13,3657.0854926401435,5.816964695021852,9.459136962890625,81.90848614883423
