env,actor_0_alpha,actor_0_seed,actor_1_alpha,actor_1_seed,algorithm,n_eval_episodes,mean_reward,mean_KL,q_output_diff,jacobian_diff
Walker2d-v4,None,3,None,4,code/cleanrl/cleanrl/td3_continuous_action.py,25,4764.96014520618,4.817184925079346,242.62821472167968,141.93480175308224
Walker2d-v4,None,3,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,4740.656064219701,4.566432476043701,219.16656982421875,166.6197227357483
Walker2d-v4,None,3,None,1,code/cleanrl/cleanrl/td3_continuous_action.py,25,4750.132866089238,4.134047031402588,243.6496124267578,105.44523001281739
Walker2d-v4,None,3,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,4744.478684343024,3.9648945331573486,231.9106591796875,119.48067345230102
Walker2d-v4,None,4,None,2,code/cleanrl/cleanrl/td3_continuous_action.py,25,4251.322303764377,6.594288349151611,349.768583984375,181.22654236267087
Walker2d-v4,None,4,None,1,code/cleanrl/cleanrl/td3_continuous_action.py,25,4246.431625339374,4.4598870277404785,258.5514831542969,111.55147468063356
Walker2d-v4,None,4,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,4248.877476414262,2.530759572982788,82.40003051757813,114.39674044258119
Walker2d-v4,None,2,None,1,code/cleanrl/cleanrl/td3_continuous_action.py,25,5037.537902863021,4.260279178619385,225.720400390625,159.89547816772463
Walker2d-v4,None,2,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,5039.138884898069,2.7487871646881104,228.98805969238282,166.54009440872193
Walker2d-v4,None,1,None,5,code/cleanrl/cleanrl/td3_continuous_action.py,25,3899.0577825258965,4.42518949508667,254.54246520996094,137.02511093563612
Walker2d-v4,0.5,3,0.5,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,4343.1951327567,0.26650696992874146,270.5806396484375,17.250332643890385
Walker2d-v4,0.5,3,0.5,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,4341.730786735781,0.10622750967741013,92.61645629882813,11.379272957067492
Walker2d-v4,0.5,2,0.5,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,3567.770282041032,0.4686291515827179,113.53618530273438,21.486490118188858
Walker2d-v4,0.1,2,0.1,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,4366.937987475761,2.2046451568603516,109.80019653320312,34.1579243645668
Walker2d-v4,0.1,2,0.1,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,4509.158832045209,4.370516777038574,188.41458251953125,35.04856305075762
Walker2d-v4,0.1,2,0.1,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,4521.38608440052,2.033980369567871,105.1008935546875,32.1492119744873
Walker2d-v4,0.1,3,0.1,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,5337.245788593574,1.5704776048660278,204.4675,30.107426496162415
Walker2d-v4,0.1,3,0.1,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5337.384944533558,3.1511282920837402,147.18143188476563,29.515800665779107
Walker2d-v4,0.1,1,0.1,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,5522.232953022563,0.8480459451675415,133.3996447753906,25.89008587718963
Walker2d-v4,0.6,3,0.6,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,3828.7685599428933,0.3923584818840027,205.4173779296875,15.574177027397157
Walker2d-v4,0.6,3,0.6,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,3822.7921781095374,0.451167494058609,229.06029907226562,17.98822739173889
Walker2d-v4,0.6,2,0.6,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,3136.4381300125697,0.12616808712482452,58.0085107421875,15.649333409977112
Walker2d-v4,0.0,4,0.0,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,2885.570634699363,6841.048828125,168.2349639892578,159.62070766472715
Walker2d-v4,0.0,4,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,2872.4132735994604,7502.25244140625,377.2014453125,153.21150009776602
Walker2d-v4,0.0,4,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,1492.2483400077135,6567.669921875,268.70677734375,181.79070413450685
Walker2d-v4,0.0,1,0.0,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,6362.512076263525,6755.71142578125,585.52068359375,222.1048914858245
Walker2d-v4,0.0,1,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,6346.40475376334,5200.07373046875,362.7498779296875,247.4730488568115
Walker2d-v4,0.0,2,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,4823.27111391372,5840.47265625,122.65965209960937,238.722639177246
Walker2d-v4,0.2,1,0.2,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,4520.173795041663,0.3638727068901062,49.117802124023434,20.44320865840912
Walker2d-v4,0.2,1,0.2,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,4545.048406736526,0.22407956421375275,60.848770751953126,20.77204562856674
Walker2d-v4,0.2,1,0.2,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,4555.375563562815,0.430929571390152,150.8626416015625,24.592624208937938
