env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,0,5687.980269854885,10457.21877027014,266.30328369140625,129.23168520355225
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,1,5624.558436787788,10324.285317044338,247.671142578125,130.22299889945984
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,2,5440.92098341689,10870.803473589473,255.42800903320312,130.1512018623352
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,3,5598.504887197438,10258.536453658095,244.58575439453125,129.8778954963684
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,4,5671.256252829051,10314.858552853424,268.7487487792969,129.76038765716552
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,5,5666.178417489358,10643.266815050414,262.69500732421875,128.88403309440613
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,6,5618.34389301139,10287.191671158054,245.5745849609375,129.93149786186217
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,7,5670.0376826466045,10700.821630415669,270.7878112792969,129.05036839294434
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,8,5639.189996163451,10205.612576521438,263.3902282714844,128.9846188926697
Walker2d-v4,code/cleanrl/cleanrl/sac_continuous_action.py,0.0,2,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134135-9nfhbbix/files/files/Walker2d-v4__walker2d-v4__2__0.0__1742924493_step2450000.pth,0.0,3,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250325_134029-wlm8ec75/files/files/Walker2d-v4__walker2d-v4__3__0.0__1742924427_step2450000.pth,9,5601.792882704276,10856.930560604105,271.32281494140625,129.61113862419128
