env,algorithm,actor_i_alpha,actor_i_seed,checkpoint_i,actor_j_alpha,actor_j_seed,checkpoint_j,episode_idx,episode_reward,episode_kl,episode_q_infnorm,episode_jacobian_diff
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,0,14738.301332661957,10.103480035882443,241.62750244140625,427.63825410079954
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,1,14630.431563352899,10.007399682811162,845.0648193359375,480.5687658958435
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,2,13832.062027025939,9.428607497931937,266.63104248046875,458.51549789428714
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,3,13766.95534966859,9.620693823910019,237.37353515625,438.6052930374145
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,4,14130.623738029923,9.740702533523901,218.09002685546875,432.69164270401
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,5,14053.57580067437,9.489919633266982,228.3751220703125,502.43741136932374
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,6,13880.69159633948,9.523572528052,271.9945068359375,436.4596456680298
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,7,14577.344054046975,9.975689589543268,890.1426391601562,441.0416383323669
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,8,14345.963964635916,9.684554956182255,221.37548828125,468.09650549697875
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,9,14152.88615784846,9.783752246222924,242.05621337890625,463.5195857009888
HalfCheetah-v4,code/cleanrl/cleanrl/td3_continuous_action.py,None,4,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250327_042821-g202vde1/files/files/HalfCheetah-v4__HalfCheetah-v4__4__1743064098_step4950000.pth,None,1,/scratch/gpfs/od2961/similarity-paper/similar-behavior/wandb/offline-run-20250326_005155-hbkfx7gv/files/files/HalfCheetah-v4__HalfCheetah-v4__1__1742964713_step4950000.pth,10,13063.999137936451,9.361974737622818,204.56256103515625,470.8602721786499
